Year,Jurisdiction,RaceEth,Gender,Mean,SE
2003,Alabama,Black,All,240.27,1.62
2003,Alabama,Hispanic,All,NA,NA
2003,Alabama,Black,Female,242.03,1.95
2003,Alabama,Hispanic,Female,NA,NA
2003,Alabama,Black,Male,238.4,2
2003,Alabama,Hispanic,Male,NA,NA
2003,Alaska,Black,All,263.12,2.9899999999999998
2003,Alaska,Hispanic,All,263.01,3.67
2003,Alaska,Black,Female,261.63,3.9699999999999998
2003,Alaska,Hispanic,Female,NA,NA
2003,Alaska,Black,Male,264.6,4.06
2003,Alaska,Hispanic,Male,NA,NA
2003,Arizona,Black,All,256.42,3.6
2003,Arizona,Hispanic,All,257.69,1.57
2003,Arizona,Black,Female,252.6,5.45
2003,Arizona,Hispanic,Female,258.23,2.24
2003,Arizona,Black,Male,NA,NA
2003,Arizona,Hispanic,Male,257.19,1.6
2003,Arkansas,Black,All,239.46,2.11
2003,Arkansas,Hispanic,All,248.45,5.53
2003,Arkansas,Black,Female,243.07,2.4
2003,Arkansas,Hispanic,Female,NA,NA
2003,Arkansas,Black,Male,236.09,2.9099999999999997
2003,Arkansas,Hispanic,Male,NA,NA
2003,California,Black,All,245.78,2.3499999999999996
2003,California,Hispanic,All,249.84,1.3800000000000001
2003,California,Black,Female,242.4,2.77
2003,California,Hispanic,Female,248.68,1.79
2003,California,Black,Male,249.13,3.03
2003,California,Hispanic,Male,251.03,2
2003,Colorado,Black,All,255.03,2.9
2003,Colorado,Hispanic,All,259.48,1.92
2003,Colorado,Black,Female,258.89,4.49
2003,Colorado,Hispanic,Female,260.53,2.53
2003,Colorado,Black,Male,251.08,4.01
2003,Colorado,Hispanic,Male,258.41,2.21
2003,Connecticut,Black,All,254.51,2.16
2003,Connecticut,Hispanic,All,258.72,1.99
2003,Connecticut,Black,Female,257.54,2.61
2003,Connecticut,Hispanic,Female,258.16,2.4099999999999997
2003,Connecticut,Black,Male,249.72,3.67
2003,Connecticut,Hispanic,Male,259.22,3.2600000000000002
2003,Delaware,Black,All,260.29,0.9400000000000001
2003,Delaware,Hispanic,All,257.2,3.8
2003,Delaware,Black,Female,260.55,1.5
2003,Delaware,Hispanic,Female,252.3,5.109999999999999
2003,Delaware,Black,Male,260.03,1.6300000000000001
2003,Delaware,Hispanic,Male,262.2,5.1499999999999995
2003,District of Columbia,Black,All,239.63,0.7799999999999999
2003,District of Columbia,Hispanic,All,245.9,3.17
2003,District of Columbia,Black,Female,241.5,1.1300000000000001
2003,District of Columbia,Hispanic,Female,246.14,3.59
2003,District of Columbia,Black,Male,237.54,1.34
2003,District of Columbia,Hispanic,Male,245.58,4.970000000000001
2003,DoDEA,Black,All,269.64,1.37
2003,DoDEA,Hispanic,All,278.1,1.47
2003,DoDEA,Black,Female,269.17,1.6900000000000002
2003,DoDEA,Hispanic,Female,276.72,2.09
2003,DoDEA,Black,Male,270.12,2.13
2003,DoDEA,Hispanic,Male,279.52,2.4
2003,Florida,Black,All,248.58,1.9
2003,Florida,Hispanic,All,263.86,2.59
2003,Florida,Black,Female,249.26,2.2600000000000002
2003,Florida,Hispanic,Female,259.65,2.44
2003,Florida,Black,Male,247.85,2.4699999999999998
2003,Florida,Hispanic,Male,267.46,3.38
2003,Georgia,Black,All,250.13,1.52
2003,Georgia,Hispanic,All,262.38,3.3499999999999996
2003,Georgia,Black,Female,250.94,1.58
2003,Georgia,Hispanic,Female,260.34,4.01
2003,Georgia,Black,Male,249.29,2.21
2003,Georgia,Hispanic,Male,264.29,4.41
2003,Hawaii,Black,All,NA,NA
2003,Hawaii,Hispanic,All,263.31,4.5
2003,Hawaii,Black,Female,NA,NA
2003,Hawaii,Hispanic,Female,NA,NA
2003,Hawaii,Black,Male,NA,NA
2003,Hawaii,Hispanic,Male,NA,NA
2003,Idaho,Black,All,NA,NA
2003,Idaho,Hispanic,All,250.86,2.8
2003,Idaho,Black,Female,NA,NA
2003,Idaho,Hispanic,Female,252.22,3.4299999999999997
2003,Idaho,Black,Male,NA,NA
2003,Idaho,Hispanic,Male,249.59,3.9699999999999998
2003,Illinois,Black,All,249.32,1.6300000000000001
2003,Illinois,Hispanic,All,258.84,2.02
2003,Illinois,Black,Female,251.18,2.06
2003,Illinois,Hispanic,Female,258.07,2.32
2003,Illinois,Black,Male,247.1,2.2600000000000002
2003,Illinois,Hispanic,Male,259.6,2.4699999999999998
2003,Indiana,Black,All,251.02,3.05
2003,Indiana,Hispanic,All,260.56,4.05
2003,Indiana,Black,Female,254.59,3.53
2003,Indiana,Hispanic,Female,NA,NA
2003,Indiana,Black,Male,246.77,4.3
2003,Indiana,Hispanic,Male,NA,NA
2003,Iowa,Black,All,256.65,3.88
2003,Iowa,Hispanic,All,254.96,4.619999999999999
2003,Iowa,Black,Female,250.72,5.03
2003,Iowa,Hispanic,Female,NA,NA
2003,Iowa,Black,Male,NA,NA
2003,Iowa,Hispanic,Male,NA,NA
2003,Kansas,Black,All,251.55,3.53
2003,Kansas,Hispanic,All,263.32,2.61
2003,Kansas,Black,Female,249.61,3.68
2003,Kansas,Hispanic,Female,262.53,3.9699999999999998
2003,Kansas,Black,Male,253.87,4.9
2003,Kansas,Hispanic,Male,263.88,3.3
2003,Kentucky,Black,All,250.2,2.69
2003,Kentucky,Hispanic,All,NA,NA
2003,Kentucky,Black,Female,250.26,3.52
2003,Kentucky,Hispanic,Female,NA,NA
2003,Kentucky,Black,Male,250.15,3.46
2003,Kentucky,Hispanic,Male,NA,NA
2003,Louisiana,Black,All,249.63,1.83
2003,Louisiana,Hispanic,All,NA,NA
2003,Louisiana,Black,Female,250.65,1.94
2003,Louisiana,Hispanic,Female,NA,NA
2003,Louisiana,Black,Male,248.52,2.12
2003,Louisiana,Hispanic,Male,NA,NA
2003,Maine,Black,All,NA,NA
2003,Maine,Hispanic,All,NA,NA
2003,Maine,Black,Female,NA,NA
2003,Maine,Hispanic,Female,NA,NA
2003,Maine,Black,Male,NA,NA
2003,Maine,Hispanic,Male,NA,NA
2003,Maryland,Black,All,256.25,1.1900000000000002
2003,Maryland,Hispanic,All,261.79,4.430000000000001
2003,Maryland,Black,Female,256.49,1.91
2003,Maryland,Hispanic,Female,NA,NA
2003,Maryland,Black,Male,255.98,2.03
2003,Maryland,Hispanic,Male,264.79,6.359999999999999
2003,Massachusetts,Black,All,259.69,1.52
2003,Massachusetts,Hispanic,All,255.21,1.75
2003,Massachusetts,Black,Female,261.09,1.91
2003,Massachusetts,Hispanic,Female,253.8,2.18
2003,Massachusetts,Black,Male,258.18,2.79
2003,Massachusetts,Hispanic,Male,256.95,2.8699999999999997
2003,Michigan,Black,All,244.94,3.4499999999999997
2003,Michigan,Hispanic,All,266.83,4.22
2003,Michigan,Black,Female,245.89,3.7
2003,Michigan,Hispanic,Female,NA,NA
2003,Michigan,Black,Male,243.89,3.84
2003,Michigan,Hispanic,Male,NA,NA
2003,Minnesota,Black,All,251.31,5.619999999999999
2003,Minnesota,Hispanic,All,262.49,4.64
2003,Minnesota,Black,Female,257.2,5.34
2003,Minnesota,Hispanic,Female,NA,NA
2003,Minnesota,Black,Male,244.45,7.39
2003,Minnesota,Hispanic,Male,NA,NA
2003,Mississippi,Black,All,246.29,1.25
2003,Mississippi,Hispanic,All,NA,NA
2003,Mississippi,Black,Female,247.14,1.5
2003,Mississippi,Hispanic,Female,NA,NA
2003,Mississippi,Black,Male,245.34,1.37
2003,Mississippi,Hispanic,Male,NA,NA
2003,Missouri,Black,All,250.29,2.11
2003,Missouri,Hispanic,All,NA,NA
2003,Missouri,Black,Female,251.78,2.52
2003,Missouri,Hispanic,Female,NA,NA
2003,Missouri,Black,Male,248.56,2.92
2003,Missouri,Hispanic,Male,NA,NA
2003,Montana,Black,All,NA,NA
2003,Montana,Hispanic,All,NA,NA
2003,Montana,Black,Female,NA,NA
2003,Montana,Hispanic,Female,NA,NA
2003,Montana,Black,Male,NA,NA
2003,Montana,Hispanic,Male,NA,NA
2003,National public,Black,All,251.74,0.54
2003,National public,Hispanic,All,258.12,0.64
2003,National public,Black,Female,252.27,0.58
2003,National public,Hispanic,Female,256.58,0.8
2003,National public,Black,Male,251.19,0.69
2003,National public,Hispanic,Male,259.64,0.91
2003,Nebraska,Black,All,246.73,3.59
2003,Nebraska,Hispanic,All,254.58,2.98
2003,Nebraska,Black,Female,251.64,5.1499999999999995
2003,Nebraska,Hispanic,Female,251.3,3.4499999999999997
2003,Nebraska,Black,Male,241.27,5.24
2003,Nebraska,Hispanic,Male,257.58,4.54
2003,Nevada,Black,All,248.29,2.61
2003,Nevada,Hispanic,All,249.6,1.75
2003,Nevada,Black,Female,245.05,3.68
2003,Nevada,Hispanic,Female,248.71,2.25
2003,Nevada,Black,Male,251.57,3.16
2003,Nevada,Hispanic,Male,250.48,2.3899999999999997
2003,New Hampshire,Black,All,NA,NA
2003,New Hampshire,Hispanic,All,NA,NA
2003,New Hampshire,Black,Female,NA,NA
2003,New Hampshire,Hispanic,Female,NA,NA
