Year,Jurisdiction,RaceEth,NSLP,Mean,SE
2003,Alabama,Black,All,240.27,1.62
2003,Alabama,Hispanic,All,NA,NA
2003,Alabama,Black,Eligible,235.19,1.56
2003,Alabama,Hispanic,Eligible,NA,NA
2003,Alabama,Black,Not Eligible,256.35,2.7600000000000002
2003,Alabama,Hispanic,Not Eligible,NA,NA
2003,Alaska,Black,All,263.12,2.9899999999999998
2003,Alaska,Hispanic,All,263.01,3.67
2003,Alaska,Black,Eligible,NA,NA
2003,Alaska,Hispanic,Eligible,NA,NA
2003,Alaska,Black,Not Eligible,265.02,3.3
2003,Alaska,Hispanic,Not Eligible,NA,NA
2003,Arizona,Black,All,256.42,3.6
2003,Arizona,Hispanic,All,257.69,1.57
2003,Arizona,Black,Eligible,248.33,4.430000000000001
2003,Arizona,Hispanic,Eligible,253.69,1.83
2003,Arizona,Black,Not Eligible,NA,NA
2003,Arizona,Hispanic,Not Eligible,266.18,2.98
2003,Arkansas,Black,All,239.46,2.11
2003,Arkansas,Hispanic,All,248.45,5.53
2003,Arkansas,Black,Eligible,237.17,2.56
2003,Arkansas,Hispanic,Eligible,NA,NA
2003,Arkansas,Black,Not Eligible,250.67,3.08
2003,Arkansas,Hispanic,Not Eligible,NA,NA
2003,California,Black,All,245.78,2.3499999999999996
2003,California,Hispanic,All,249.84,1.3800000000000001
2003,California,Black,Eligible,239.82,3.2
2003,California,Hispanic,Eligible,245.43,1.6
2003,California,Black,Not Eligible,254.91,4.28
2003,California,Hispanic,Not Eligible,260.62,2.77
2003,Colorado,Black,All,255.03,2.9
2003,Colorado,Hispanic,All,259.48,1.92
2003,Colorado,Black,Eligible,247.95,3.75
2003,Colorado,Hispanic,Eligible,252.72,2.4099999999999997
2003,Colorado,Black,Not Eligible,261.64,3.7800000000000002
2003,Colorado,Hispanic,Not Eligible,270.35,2.72
2003,Connecticut,Black,All,254.51,2.16
2003,Connecticut,Hispanic,All,258.72,1.99
2003,Connecticut,Black,Eligible,250.27,2.65
2003,Connecticut,Hispanic,Eligible,253.62,2.05
2003,Connecticut,Black,Not Eligible,261.92,3.03
2003,Connecticut,Hispanic,Not Eligible,268.79,4.31
2003,Delaware,Black,All,260.29,0.9400000000000001
2003,Delaware,Hispanic,All,257.2,3.8
2003,Delaware,Black,Eligible,256.41,1.23
2003,Delaware,Hispanic,Eligible,253.7,4.5
2003,Delaware,Black,Not Eligible,265.71,2.08
2003,Delaware,Hispanic,Not Eligible,NA,NA
2003,District of Columbia,Black,All,239.63,0.7799999999999999
2003,District of Columbia,Hispanic,All,245.9,3.17
2003,District of Columbia,Black,Eligible,233.99,1.1400000000000001
2003,District of Columbia,Hispanic,Eligible,243.91,4.319999999999999
2003,District of Columbia,Black,Not Eligible,246.38,2.01
2003,District of Columbia,Hispanic,Not Eligible,249.97,4.21
2003,DoDEA,Black,All,269.64,1.37
2003,DoDEA,Hispanic,All,278.1,1.47
2003,DoDEA,Black,Eligible,NA,NA
2003,DoDEA,Hispanic,Eligible,NA,NA
2003,DoDEA,Black,Not Eligible,NA,NA
2003,DoDEA,Hispanic,Not Eligible,NA,NA
2003,Florida,Black,All,248.58,1.9
2003,Florida,Hispanic,All,263.86,2.59
2003,Florida,Black,Eligible,244.84,2.23
2003,Florida,Hispanic,Eligible,257.49,2.92
2003,Florida,Black,Not Eligible,257.95,2.71
2003,Florida,Hispanic,Not Eligible,277.65,4.29
2003,Georgia,Black,All,250.13,1.52
2003,Georgia,Hispanic,All,262.38,3.3499999999999996
2003,Georgia,Black,Eligible,245.72,1.72
2003,Georgia,Hispanic,Eligible,258.58,3.4899999999999998
2003,Georgia,Black,Not Eligible,262.17,2.15
2003,Georgia,Hispanic,Not Eligible,NA,NA
2003,Hawaii,Black,All,NA,NA
2003,Hawaii,Hispanic,All,263.31,4.5
2003,Hawaii,Black,Eligible,NA,NA
2003,Hawaii,Hispanic,Eligible,NA,NA
2003,Hawaii,Black,Not Eligible,NA,NA
2003,Hawaii,Hispanic,Not Eligible,NA,NA
2003,Idaho,Black,All,NA,NA
2003,Idaho,Hispanic,All,250.86,2.8
2003,Idaho,Black,Eligible,NA,NA
2003,Idaho,Hispanic,Eligible,245.42,3.4
2003,Idaho,Black,Not Eligible,NA,NA
2003,Idaho,Hispanic,Not Eligible,NA,NA
2003,Illinois,Black,All,249.32,1.6300000000000001
2003,Illinois,Hispanic,All,258.84,2.02
2003,Illinois,Black,Eligible,244.15,1.48
2003,Illinois,Hispanic,Eligible,255.88,1.8900000000000001
2003,Illinois,Black,Not Eligible,265.2,4.91
2003,Illinois,Hispanic,Not Eligible,269.39,6.1899999999999995
2003,Indiana,Black,All,251.02,3.05
2003,Indiana,Hispanic,All,260.56,4.05
2003,Indiana,Black,Eligible,247.17,2.8099999999999996
2003,Indiana,Hispanic,Eligible,NA,NA
2003,Indiana,Black,Not Eligible,258.48,4.109999999999999
2003,Indiana,Hispanic,Not Eligible,NA,NA
2003,Iowa,Black,All,256.65,3.88
2003,Iowa,Hispanic,All,254.96,4.619999999999999
2003,Iowa,Black,Eligible,248.88,4.39
2003,Iowa,Hispanic,Eligible,245.25,4.68
2003,Iowa,Black,Not Eligible,NA,NA
2003,Iowa,Hispanic,Not Eligible,NA,NA
2003,Kansas,Black,All,251.55,3.53
2003,Kansas,Hispanic,All,263.32,2.61
2003,Kansas,Black,Eligible,248.06,3.9499999999999997
2003,Kansas,Hispanic,Eligible,258.12,3.3499999999999996
2003,Kansas,Black,Not Eligible,258.99,4.48
2003,Kansas,Hispanic,Not Eligible,272.73,5.34
2003,Kentucky,Black,All,250.2,2.69
2003,Kentucky,Hispanic,All,NA,NA
2003,Kentucky,Black,Eligible,246.11,3.04
2003,Kentucky,Hispanic,Eligible,NA,NA
2003,Kentucky,Black,Not Eligible,258.04,4.07
2003,Kentucky,Hispanic,Not Eligible,NA,NA
2003,Louisiana,Black,All,249.63,1.83
2003,Louisiana,Hispanic,All,NA,NA
2003,Louisiana,Black,Eligible,247.4,1.72
2003,Louisiana,Hispanic,Eligible,NA,NA
2003,Louisiana,Black,Not Eligible,259.61,4.44
2003,Louisiana,Hispanic,Not Eligible,NA,NA
2003,Maine,Black,All,NA,NA
2003,Maine,Hispanic,All,NA,NA
2003,Maine,Black,Eligible,NA,NA
2003,Maine,Hispanic,Eligible,NA,NA
2003,Maine,Black,Not Eligible,NA,NA
2003,Maine,Hispanic,Not Eligible,NA,NA
2003,Maryland,Black,All,256.25,1.1900000000000002
2003,Maryland,Hispanic,All,261.79,4.430000000000001
2003,Maryland,Black,Eligible,248.07,1.72
2003,Maryland,Hispanic,Eligible,251.61,6.54
2003,Maryland,Black,Not Eligible,264.63,2.07
2003,Maryland,Hispanic,Not Eligible,269.59,3.7600000000000002
2003,Massachusetts,Black,All,259.69,1.52
2003,Massachusetts,Hispanic,All,255.21,1.75
2003,Massachusetts,Black,Eligible,253.09,1.3800000000000001
2003,Massachusetts,Hispanic,Eligible,251.19,2.05
2003,Massachusetts,Black,Not Eligible,272.5,4.6
2003,Massachusetts,Hispanic,Not Eligible,269.2,4.2700000000000005
2003,Michigan,Black,All,244.94,3.4499999999999997
2003,Michigan,Hispanic,All,266.83,4.22
2003,Michigan,Black,Eligible,240.24,4.2700000000000005
2003,Michigan,Hispanic,Eligible,NA,NA
2003,Michigan,Black,Not Eligible,251.84,3.8699999999999997
2003,Michigan,Hispanic,Not Eligible,NA,NA
2003,Minnesota,Black,All,251.31,5.619999999999999
2003,Minnesota,Hispanic,All,262.49,4.64
2003,Minnesota,Black,Eligible,240.08,7.359999999999999
2003,Minnesota,Hispanic,Eligible,NA,NA
2003,Minnesota,Black,Not Eligible,NA,NA
2003,Minnesota,Hispanic,Not Eligible,NA,NA
2003,Mississippi,Black,All,246.29,1.25
2003,Mississippi,Hispanic,All,NA,NA
2003,Mississippi,Black,Eligible,244.2,1.1800000000000002
2003,Mississippi,Hispanic,Eligible,NA,NA
2003,Mississippi,Black,Not Eligible,255.94,3.65
2003,Mississippi,Hispanic,Not Eligible,NA,NA
2003,Missouri,Black,All,250.29,2.11
2003,Missouri,Hispanic,All,NA,NA
2003,Missouri,Black,Eligible,246.06,2.52
2003,Missouri,Hispanic,Eligible,NA,NA
2003,Missouri,Black,Not Eligible,257.83,2.7
2003,Missouri,Hispanic,Not Eligible,NA,NA
2003,Montana,Black,All,NA,NA
2003,Montana,Hispanic,All,NA,NA
2003,Montana,Black,Eligible,NA,NA
2003,Montana,Hispanic,Eligible,NA,NA
2003,Montana,Black,Not Eligible,NA,NA
2003,Montana,Hispanic,Not Eligible,NA,NA
2003,National public,Black,All,251.74,0.54
2003,National public,Hispanic,All,258.12,0.64
2003,National public,Black,Eligible,246.58,0.6
2003,National public,Hispanic,Eligible,253.84,0.77
2003,National public,Black,Not Eligible,262.17,0.71
2003,National public,Hispanic,Not Eligible,268.92,1.21
2003,Nebraska,Black,All,246.73,3.59
2003,Nebraska,Hispanic,All,254.58,2.98
