Year,Jurisdiction,RaceEth,Gender,Mean,SE
2003,National public,Black,All,243.60,0.51
2003,National public,Hispanic,All,243.80,0.73
2003,Alabama,Black,All,236.90,1.96
2003,Alabama,Hispanic,All,‡,NA
2003,Alaska,Black,All,248.92,3.58
2003,Alaska,Hispanic,All,246.43,3.58
2003,Arizona,Black,All,244.80,3.9699999999999998
2003,Arizona,Hispanic,All,240.03,1.94
2003,Arkansas,Black,All,232.28,2.11
2003,Arkansas,Hispanic,All,256.80,4.76
2003,California,Black,All,239.19,2.48
2003,California,Hispanic,All,236.53,1.6400000000000001
2003,Colorado,Black,All,248.56,3.16
2003,Colorado,Hispanic,All,247.37,2.13
2003,Connecticut,Black,All,244.21,2.25
2003,Connecticut,Hispanic,All,243.80,3.1
2003,Delaware,Black,All,248.44,1.74
2003,Delaware,Hispanic,All,245.96,3.22
2003,District of Columbia,Black,All,236.06,0.72
2003,District of Columbia,Hispanic,All,239.72,2.72
2003,DoDEA,Black,All,258.46,1.48
2003,DoDEA,Hispanic,All,268.33,1.84
2003,Florida,Black,All,239.16,2.13
2003,Florida,Hispanic,All,251.09,2.34
2003,Georgia,Black,All,243.75,1.71
2003,Georgia,Hispanic,All,244.87,3.94
2003,Hawaii,Black,All,‡,NA
2003,Hawaii,Hispanic,All,248.79,7.6
2003,Idaho,Black,All,‡,NA
2003,Idaho,Hispanic,All,242.49,2.7600000000000002
2003,Illinois,Black,All,246.79,1.6500000000000001
2003,Illinois,Hispanic,All,249.76,1.6700000000000002
2003,Indiana,Black,All,244.36,3.2600000000000002
2003,Indiana,Hispanic,All,246.55,5.07
2003,Iowa,Black,All,244.95,3.2800000000000002
2003,Iowa,Hispanic,All,244.22,4.1
2003,Kansas,Black,All,243.21,3.14
2003,Kansas,Hispanic,All,244.77,3.77
2003,Kentucky,Black,All,244.57,2.73
2003,Kentucky,Hispanic,All,‡,NA
2003,Louisiana,Black,All,238.36,2.01
2003,Louisiana,Hispanic,All,‡,NA
2003,Maine,Black,All,‡,NA
2003,Maine,Hispanic,All,‡,NA
2003,Maryland,Black,All,245.01,1.9
2003,Maryland,Hispanic,All,250.91,3.8899999999999997
2003,Massachusetts,Black,All,251.74,2.38
2003,Massachusetts,Hispanic,All,246.26,2.84
2003,Michigan,Black,All,241.67,4.54
2003,Michigan,Hispanic,All,256.53,3.4099999999999997
2003,Minnesota,Black,All,243.02,3.68
2003,Minnesota,Hispanic,All,240.22,5.26
2003,Mississippi,Black,All,242.51,1.47
2003,Mississippi,Hispanic,All,‡,NA
2003,Missouri,Black,All,243.45,1.75
2003,Missouri,Hispanic,All,‡,NA
2003,Montana,Black,All,‡,NA
2003,Montana,Hispanic,All,‡,NA
2003,Nebraska,Black,All,239.02,3.11
2003,Nebraska,Hispanic,All,240.69,3.11
2003,Nevada,Black,All,232.99,2.68
2003,Nevada,Hispanic,All,236.97,1.22
2003,New Hampshire,Black,All,‡,NA
2003,New Hampshire,Hispanic,All,‡,NA
2003,New Jersey,Black,All,247.65,2.06
2003,New Jersey,Hispanic,All,248.43,2.4299999999999997
2003,New Mexico,Black,All,246.32,3.3899999999999997
2003,New Mexico,Hispanic,All,242.89,1.04
2003,New York,Black,All,245.70,2.13
2003,New York,Hispanic,All,249.64,2.44
2003,North Carolina,Black,All,246.92,1.37
2003,North Carolina,Hispanic,All,243.79,3.69
2003,North Dakota,Black,All,‡,NA
2003,North Dakota,Hispanic,All,‡,NA
2003,Ohio,Black,All,248.85,1.6400000000000001
2003,Ohio,Hispanic,All,267.98,5.14
2003,Oklahoma,Black,All,240.33,4.02
2003,Oklahoma,Hispanic,All,250.44,2.8
2003,Oregon,Black,All,251.45,4.2
2003,Oregon,Hispanic,All,249.25,2.74
2003,Pennsylvania,Black,All,243.25,2.52
2003,Pennsylvania,Hispanic,All,257.35,6.03
2003,Rhode Island,Black,All,241.25,2.77
2003,Rhode Island,Hispanic,All,237.87,1.94
2003,South Carolina,Black,All,243.80,1.6500000000000001
2003,South Carolina,Hispanic,All,‡,NA
2003,South Dakota,Black,All,‡,NA
2003,South Dakota,Hispanic,All,‡,NA
2003,Tennessee,Black,All,238.82,2.02
2003,Tennessee,Hispanic,All,‡,NA
2003,Texas,Black,All,246.53,2.16
2003,Texas,Hispanic,All,247.39,1.3
2003,Utah,Black,All,‡,NA
2003,Utah,Hispanic,All,241.03,2.92
2003,Vermont,Black,All,‡,NA
2003,Vermont,Hispanic,All,‡,NA
2003,Virginia,Black,All,250.32,1.42
2003,Virginia,Hispanic,All,265.56,3.19
2003,Washington,Black,All,250.56,3.3299999999999996
2003,Washington,Hispanic,All,246.09,2.59
2003,West Virginia,Black,All,248.31,2.9099999999999997
2003,West Virginia,Hispanic,All,‡,NA
2003,Wisconsin,Black,All,233.84,4.38
2003,Wisconsin,Hispanic,All,243.94,5.04
2003,Wyoming,Black,All,‡,NA
2003,Wyoming,Hispanic,All,254.98,2.71
2005,National public,Black,All,242.03,0.44
2005,National public,Hispanic,All,244.94,0.44
2005,Alabama,Black,All,234.70,1.91
2005,Alabama,Hispanic,All,‡,NA
2005,Alaska,Black,All,248.85,3.7600000000000002
2005,Alaska,Hispanic,All,253.82,4.13
2005,Arizona,Black,All,242.27,4.05
2005,Arizona,Hispanic,All,242.07,1.5
2005,Arkansas,Black,All,236.24,1.95
2005,Arkansas,Hispanic,All,249.96,3.7
2005,California,Black,All,240.06,1.62
2005,California,Hispanic,All,238.57,0.77
2005,Colorado,Black,All,254.16,3.8699999999999997
2005,Colorado,Hispanic,All,246.51,1.8800000000000001
2005,Connecticut,Black,All,240.15,3.3099999999999996
2005,Connecticut,Hispanic,All,244.60,3.86
2005,Delaware,Black,All,252.39,1.1600000000000001
2005,Delaware,Hispanic,All,253.43,2.7
2005,District of Columbia,Black,All,234.94,0.9
2005,District of Columbia,Hispanic,All,247.47,3.21
2005,DoDEA,Black,All,258.18,1.58
2005,DoDEA,Hispanic,All,267.53,2.25
2005,Florida,Black,All,238.22,1.74
2005,Florida,Hispanic,All,251.66,1.91
2005,Georgia,Black,All,240.74,1.3
2005,Georgia,Hispanic,All,247.46,3.42
2005,Hawaii,Black,All,‡,NA
2005,Hawaii,Hispanic,All,241.83,4.359999999999999
2005,Idaho,Black,All,‡,NA
2005,Idaho,Hispanic,All,246.47,2.06
2005,Illinois,Black,All,243.85,2.01
2005,Illinois,Hispanic,All,253.30,1.61
2005,Indiana,Black,All,240.51,2.8099999999999996
2005,Indiana,Hispanic,All,246.68,4.94
2005,Iowa,Black,All,245.59,3.42
2005,Iowa,Hispanic,All,255.60,3.92
2005,Kansas,Black,All,246.91,2.23
2005,Kansas,Hispanic,All,248.64,2.59
2005,Kentucky,Black,All,247.65,3.07
2005,Kentucky,Hispanic,All,‡,NA
2005,Louisiana,Black,All,239.80,1.93
2005,Louisiana,Hispanic,All,‡,NA
2005,Maine,Black,All,‡,NA
2005,Maine,Hispanic,All,‡,NA
2005,Maryland,Black,All,243.82,1.78
2005,Maryland,Hispanic,All,256.48,4.7700000000000005
2005,Massachusetts,Black,All,253.06,1.99
2005,Massachusetts,Hispanic,All,246.44,2.59
2005,Michigan,Black,All,238.55,2.1
2005,Michigan,Hispanic,All,249.84,4.1499999999999995
2005,Minnesota,Black,All,239.14,4.05
2005,Minnesota,Hispanic,All,244.06,5.119999999999999
2005,Mississippi,Black,All,236.88,1.48
2005,Mississippi,Hispanic,All,‡,NA
2005,Missouri,Black,All,242.13,1.82
2005,Missouri,Hispanic,All,257.57,6.01
2005,Montana,Black,All,‡,NA
2005,Montana,Hispanic,All,‡,NA
2005,Nebraska,Black,All,243.03,2.4899999999999998
2005,Nebraska,Hispanic,All,245.19,2.02
2005,Nevada,Black,All,239.83,3.58
2005,Nevada,Hispanic,All,241.26,1.1400000000000001
2005,New Hampshire,Black,All,‡,NA
2005,New Hampshire,Hispanic,All,‡,NA
2005,New Jersey,Black,All,250.51,2.77
2005,New Jersey,Hispanic,All,251.28,2.11
2005,New Mexico,Black,All,‡,NA
2005,New Mexico,Hispanic,All,244.68,1.1400000000000001
2005,New York,Black,All,242.47,2.05
2005,New York,Hispanic,All,250.48,1.76
2005,North Carolina,Black,All,239.82,1.62
2005,North Carolina,Hispanic,All,247.50,2.9499999999999997
