Year,Jurisdiction,RaceEth,NSLP,Mean,SE
2003,Alabama,Black,All,236.9,1.96
2003,Alabama,Hispanic,All,NA,NA
2003,Alabama,Black,Eligible,234.48,2.01
2003,Alabama,Hispanic,Eligible,NA,NA
2003,Alabama,Black,Not Eligible,245.9,3.4499999999999997
2003,Alabama,Hispanic,Not Eligible,NA,NA
2003,Alaska,Black,All,248.92,3.58
2003,Alaska,Hispanic,All,246.43,3.58
2003,Alaska,Black,Eligible,NA,NA
2003,Alaska,Hispanic,Eligible,NA,NA
2003,Alaska,Black,Not Eligible,252.33,3.62
2003,Alaska,Hispanic,Not Eligible,NA,NA
2003,Arizona,Black,All,244.8,3.9699999999999998
2003,Arizona,Hispanic,All,240.03,1.94
2003,Arizona,Black,Eligible,238.16,4.4
2003,Arizona,Hispanic,Eligible,235.61,2.4499999999999997
2003,Arizona,Black,Not Eligible,NA,NA
2003,Arizona,Hispanic,Not Eligible,250.61,3.61
2003,Arkansas,Black,All,232.28,2.11
2003,Arkansas,Hispanic,All,256.8,4.76
2003,Arkansas,Black,Eligible,227.32,2.82
2003,Arkansas,Hispanic,Eligible,NA,NA
2003,Arkansas,Black,Not Eligible,246.01,3.32
2003,Arkansas,Hispanic,Not Eligible,NA,NA
2003,California,Black,All,239.19,2.48
2003,California,Hispanic,All,236.53,1.6400000000000001
2003,California,Black,Eligible,232.41,4.01
2003,California,Hispanic,Eligible,232.03,1.99
2003,California,Black,Not Eligible,249.04,4.1
2003,California,Hispanic,Not Eligible,250.79,2.34
2003,Colorado,Black,All,248.56,3.16
2003,Colorado,Hispanic,All,247.37,2.13
2003,Colorado,Black,Eligible,238.86,4.859999999999999
2003,Colorado,Hispanic,Eligible,242.2,2.3699999999999997
2003,Colorado,Black,Not Eligible,256.86,4.1899999999999995
2003,Colorado,Hispanic,Not Eligible,255.15,3
2003,Connecticut,Black,All,244.21,2.25
2003,Connecticut,Hispanic,All,243.8,3.1
2003,Connecticut,Black,Eligible,240.19,2.69
2003,Connecticut,Hispanic,Eligible,237.87,4.57
2003,Connecticut,Black,Not Eligible,251.77,3.16
2003,Connecticut,Hispanic,Not Eligible,254.39,3.7800000000000002
2003,Delaware,Black,All,248.44,1.74
2003,Delaware,Hispanic,All,245.96,3.22
2003,Delaware,Black,Eligible,244.72,1.94
2003,Delaware,Hispanic,Eligible,241.92,4.24
2003,Delaware,Black,Not Eligible,254.91,2.5
2003,Delaware,Hispanic,Not Eligible,NA,NA
2003,District of Columbia,Black,All,236.06,0.72
2003,District of Columbia,Hispanic,All,239.72,2.72
2003,District of Columbia,Black,Eligible,230.64,1.01
2003,District of Columbia,Hispanic,Eligible,238.62,4.33
2003,District of Columbia,Black,Not Eligible,242.05,1.52
2003,District of Columbia,Hispanic,Not Eligible,NA,NA
2003,DoDEA,Black,All,258.46,1.48
2003,DoDEA,Hispanic,All,268.33,1.84
2003,DoDEA,Black,Eligible,NA,NA
2003,DoDEA,Hispanic,Eligible,NA,NA
2003,DoDEA,Black,Not Eligible,NA,NA
2003,DoDEA,Hispanic,Not Eligible,NA,NA
2003,Florida,Black,All,239.16,2.13
2003,Florida,Hispanic,All,251.09,2.34
2003,Florida,Black,Eligible,235.26,2.2800000000000002
2003,Florida,Hispanic,Eligible,245.42,2.79
2003,Florida,Black,Not Eligible,248.58,3.62
2003,Florida,Hispanic,Not Eligible,260.59,3.2600000000000002
2003,Georgia,Black,All,243.75,1.71
2003,Georgia,Hispanic,All,244.87,3.94
2003,Georgia,Black,Eligible,238.84,1.49
2003,Georgia,Hispanic,Eligible,240.41,4.470000000000001
2003,Georgia,Black,Not Eligible,257.79,2.73
2003,Georgia,Hispanic,Not Eligible,NA,NA
2003,Hawaii,Black,All,NA,NA
2003,Hawaii,Hispanic,All,248.79,7.6
2003,Hawaii,Black,Eligible,NA,NA
2003,Hawaii,Hispanic,Eligible,NA,NA
2003,Hawaii,Black,Not Eligible,NA,NA
2003,Hawaii,Hispanic,Not Eligible,NA,NA
2003,Idaho,Black,All,NA,NA
2003,Idaho,Hispanic,All,242.49,2.7600000000000002
2003,Idaho,Black,Eligible,NA,NA
2003,Idaho,Hispanic,Eligible,239.09,3.58
2003,Idaho,Black,Not Eligible,NA,NA
2003,Idaho,Hispanic,Not Eligible,NA,NA
2003,Illinois,Black,All,246.79,1.6500000000000001
2003,Illinois,Hispanic,All,249.76,1.6700000000000002
2003,Illinois,Black,Eligible,241.53,1.46
2003,Illinois,Hispanic,Eligible,248.09,1.47
2003,Illinois,Black,Not Eligible,263.17,3.04
2003,Illinois,Hispanic,Not Eligible,254.67,4.470000000000001
2003,Indiana,Black,All,244.36,3.2600000000000002
2003,Indiana,Hispanic,All,246.55,5.07
2003,Indiana,Black,Eligible,238.83,4.35
2003,Indiana,Hispanic,Eligible,NA,NA
2003,Indiana,Black,Not Eligible,254.89,3.48
2003,Indiana,Hispanic,Not Eligible,NA,NA
2003,Iowa,Black,All,244.95,3.2800000000000002
2003,Iowa,Hispanic,All,244.22,4.1
2003,Iowa,Black,Eligible,240.62,4.33
2003,Iowa,Hispanic,Eligible,237.63,4.609999999999999
2003,Iowa,Black,Not Eligible,NA,NA
2003,Iowa,Hispanic,Not Eligible,NA,NA
2003,Kansas,Black,All,243.21,3.14
2003,Kansas,Hispanic,All,244.77,3.77
2003,Kansas,Black,Eligible,241.79,4.22
2003,Kansas,Hispanic,Eligible,240.12,3.58
2003,Kansas,Black,Not Eligible,246.67,4.38
2003,Kansas,Hispanic,Not Eligible,253.75,7.63
2003,Kentucky,Black,All,244.57,2.73
2003,Kentucky,Hispanic,All,NA,NA
2003,Kentucky,Black,Eligible,240.12,3.15
2003,Kentucky,Hispanic,Eligible,NA,NA
2003,Kentucky,Black,Not Eligible,257.36,4.96
2003,Kentucky,Hispanic,Not Eligible,NA,NA
2003,Louisiana,Black,All,238.36,2.01
2003,Louisiana,Hispanic,All,NA,NA
2003,Louisiana,Black,Eligible,236.31,2.3499999999999996
2003,Louisiana,Hispanic,Eligible,NA,NA
2003,Louisiana,Black,Not Eligible,248.42,3.24
2003,Louisiana,Hispanic,Not Eligible,NA,NA
2003,Maine,Black,All,NA,NA
2003,Maine,Hispanic,All,NA,NA
2003,Maine,Black,Eligible,NA,NA
2003,Maine,Hispanic,Eligible,NA,NA
2003,Maine,Black,Not Eligible,NA,NA
2003,Maine,Hispanic,Not Eligible,NA,NA
2003,Maryland,Black,All,245.01,1.9
2003,Maryland,Hispanic,All,250.91,3.8899999999999997
2003,Maryland,Black,Eligible,238.13,2.61
2003,Maryland,Hispanic,Eligible,238.67,4.37
2003,Maryland,Black,Not Eligible,251.96,2.25
2003,Maryland,Hispanic,Not Eligible,265.16,4.42
2003,Massachusetts,Black,All,251.74,2.38
2003,Massachusetts,Hispanic,All,246.26,2.84
2003,Massachusetts,Black,Eligible,246.97,2.63
2003,Massachusetts,Hispanic,Eligible,241.92,4
2003,Massachusetts,Black,Not Eligible,262.36,4.1499999999999995
2003,Massachusetts,Hispanic,Not Eligible,NA,NA
2003,Michigan,Black,All,241.67,4.54
2003,Michigan,Hispanic,All,256.53,3.4099999999999997
2003,Michigan,Black,Eligible,233.02,4.88
2003,Michigan,Hispanic,Eligible,NA,NA
2003,Michigan,Black,Not Eligible,256,3.3099999999999996
2003,Michigan,Hispanic,Not Eligible,NA,NA
2003,Minnesota,Black,All,243.02,3.68
2003,Minnesota,Hispanic,All,240.22,5.26
2003,Minnesota,Black,Eligible,236.12,3.8099999999999996
2003,Minnesota,Hispanic,Eligible,NA,NA
2003,Minnesota,Black,Not Eligible,NA,NA
2003,Minnesota,Hispanic,Not Eligible,NA,NA
2003,Mississippi,Black,All,242.51,1.47
2003,Mississippi,Hispanic,All,NA,NA
2003,Mississippi,Black,Eligible,240.63,1.46
2003,Mississippi,Hispanic,Eligible,NA,NA
2003,Mississippi,Black,Not Eligible,250.96,3.44
2003,Mississippi,Hispanic,Not Eligible,NA,NA
2003,Missouri,Black,All,243.45,1.75
2003,Missouri,Hispanic,All,NA,NA
2003,Missouri,Black,Eligible,238.68,2.2
2003,Missouri,Hispanic,Eligible,NA,NA
2003,Missouri,Black,Not Eligible,250.4,2.3299999999999996
2003,Missouri,Hispanic,Not Eligible,NA,NA
2003,Montana,Black,All,NA,NA
2003,Montana,Hispanic,All,NA,NA
2003,Montana,Black,Eligible,NA,NA
2003,Montana,Hispanic,Eligible,NA,NA
2003,Montana,Black,Not Eligible,NA,NA
2003,Montana,Hispanic,Not Eligible,NA,NA
2003,National public,Black,All,243.6,0.51
2003,National public,Hispanic,All,243.8,0.73
2003,National public,Black,Eligible,238.78,0.58
2003,National public,Hispanic,Eligible,239,0.88
2003,National public,Black,Not Eligible,253.23,0.77
2003,National public,Hispanic,Not Eligible,256.2,0.9
2003,Nebraska,Black,All,239.02,3.11
2003,Nebraska,Hispanic,All,240.69,3.11
2003,Nebraska,Black,Eligible,236.02,3.7
2003,Nebraska,Hispanic,Eligible,235.23,3.3499999999999996
2003,Nebraska,Black,Not Eligible,NA,NA
2003,Nebraska,Hispanic,Not Eligible,NA,NA
2003,Nevada,Black,All,232.99,2.68
2003,Nevada,Hispanic,All,236.97,1.22
2003,Nevada,Black,Eligible,225.29,3.65
2003,Nevada,Hispanic,Eligible,231.9,1.91
2003,Nevada,Black,Not Eligible,242.6,3.55
2003,Nevada,Hispanic,Not Eligible,244.12,1.99
2003,New Hampshire,Black,All,NA,NA
2003,New Hampshire,Hispanic,All,NA,NA
2003,New Hampshire,Black,Eligible,NA,NA
2003,New Hampshire,Hispanic,Eligible,NA,NA
2003,New Hampshire,Black,Not Eligible,NA,NA
2003,New Hampshire,Hispanic,Not Eligible,NA,NA
2003,New Jersey,Black,All,247.65,2.06
2003,New Jersey,Hispanic,All,248.43,2.4299999999999997
2003,New Jersey,Black,Eligible,241.61,2.3499999999999996
2003,New Jersey,Hispanic,Eligible,239.4,3.61
2003,New Jersey,Black,Not Eligible,256.28,2.66
2003,New Jersey,Hispanic,Not Eligible,258.62,3.14
2003,New Mexico,Black,All,246.32,3.3899999999999997
2003,New Mexico,Hispanic,All,242.89,1.04
2003,New Mexico,Black,Eligible,NA,NA
2003,New Mexico,Hispanic,Eligible,238.23,1.42
2003,New Mexico,Black,Not Eligible,NA,NA
2003,New Mexico,Hispanic,Not Eligible,252.31,1.8800000000000001
2003,New York,Black,All,245.7,2.13
2003,New York,Hispanic,All,249.64,2.44
2003,New York,Black,Eligible,242.3,2.27
2003,New York,Hispanic,Eligible,245.54,1.83
2003,New York,Black,Not Eligible,256.54,4.09
2003,New York,Hispanic,Not Eligible,268.58,8.48
2003,North Carolina,Black,All,246.92,1.37
2003,North Carolina,Hispanic,All,243.79,3.69
2003,North Carolina,Black,Eligible,242.17,1.79
2003,North Carolina,Hispanic,Eligible,239.51,4.44
2003,North Carolina,Black,Not Eligible,255.54,2.1
2003,North Carolina,Hispanic,Not Eligible,NA,NA
2003,North Dakota,Black,All,NA,NA
2003,North Dakota,Hispanic,All,NA,NA
2003,North Dakota,Black,Eligible,NA,NA
2003,North Dakota,Hispanic,Eligible,NA,NA
2003,North Dakota,Black,Not Eligible,NA,NA
2003,North Dakota,Hispanic,Not Eligible,NA,NA
2003,Ohio,Black,All,248.85,1.6400000000000001
2003,Ohio,Hispanic,All,267.98,5.14
2003,Ohio,Black,Eligible,241.19,2.62
2003,Ohio,Hispanic,Eligible,259.68,8.239999999999998
2003,Ohio,Black,Not Eligible,257.94,2.46
2003,Ohio,Hispanic,Not Eligible,NA,NA
2003,Oklahoma,Black,All,240.33,4.02
2003,Oklahoma,Hispanic,All,250.44,2.8
2003,Oklahoma,Black,Eligible,235.83,4.41
2003,Oklahoma,Hispanic,Eligible,246.89,3.36
2003,Oklahoma,Black,Not Eligible,253.41,5.49
2003,Oklahoma,Hispanic,Not Eligible,NA,NA
2003,Oregon,Black,All,251.45,4.2
2003,Oregon,Hispanic,All,249.25,2.74
2003,Oregon,Black,Eligible,NA,NA
2003,Oregon,Hispanic,Eligible,249.59,2.9899999999999998
2003,Oregon,Black,Not Eligible,NA,NA
2003,Oregon,Hispanic,Not Eligible,247.38,4.35
2003,Pennsylvania,Black,All,243.25,2.52
2003,Pennsylvania,Hispanic,All,257.35,6.03
2003,Pennsylvania,Black,Eligible,237.99,2.69
2003,Pennsylvania,Hispanic,Eligible,NA,NA
2003,Pennsylvania,Black,Not Eligible,252.82,5.31
2003,Pennsylvania,Hispanic,Not Eligible,NA,NA
2003,Rhode Island,Black,All,241.25,2.77
2003,Rhode Island,Hispanic,All,237.87,1.94
2003,Rhode Island,Black,Eligible,240.92,3.6
2003,Rhode Island,Hispanic,Eligible,237.59,2.2800000000000002
2003,Rhode Island,Black,Not Eligible,NA,NA
2003,Rhode Island,Hispanic,Not Eligible,NA,NA
2003,South Carolina,Black,All,243.8,1.6500000000000001
2003,South Carolina,Hispanic,All,NA,NA
2003,South Carolina,Black,Eligible,240.9,1.8800000000000001
2003,South Carolina,Hispanic,Eligible,NA,NA
2003,South Carolina,Black,Not Eligible,252.19,2.4
2003,South Carolina,Hispanic,Not Eligible,NA,NA
2003,South Dakota,Black,All,NA,NA
2003,South Dakota,Hispanic,All,NA,NA
2003,South Dakota,Black,Eligible,NA,NA
2003,South Dakota,Hispanic,Eligible,NA,NA
2003,South Dakota,Black,Not Eligible,NA,NA
2003,South Dakota,Hispanic,Not Eligible,NA,NA
2003,Tennessee,Black,All,238.82,2.02
2003,Tennessee,Hispanic,All,NA,NA
2003,Tennessee,Black,Eligible,236.77,2.64
2003,Tennessee,Hispanic,Eligible,NA,NA
2003,Tennessee,Black,Not Eligible,242.08,3.27
2003,Tennessee,Hispanic,Not Eligible,NA,NA
2003,Texas,Black,All,246.53,2.16
2003,Texas,Hispanic,All,247.39,1.3
2003,Texas,Black,Eligible,242.7,3.24
2003,Texas,Hispanic,Eligible,242.56,1.49
2003,Texas,Black,Not Eligible,251.96,1.95
2003,Texas,Hispanic,Not Eligible,259.51,2.32
2003,Utah,Black,All,NA,NA
2003,Utah,Hispanic,All,241.03,2.92
2003,Utah,Black,Eligible,NA,NA
2003,Utah,Hispanic,Eligible,235.42,3.25
2003,Utah,Black,Not Eligible,NA,NA
2003,Utah,Hispanic,Not Eligible,251.61,4.42
2003,Vermont,Black,All,NA,NA
2003,Vermont,Hispanic,All,NA,NA
2003,Vermont,Black,Eligible,NA,NA
2003,Vermont,Hispanic,Eligible,NA,NA
2003,Vermont,Black,Not Eligible,NA,NA
2003,Vermont,Hispanic,Not Eligible,NA,NA
2003,Virginia,Black,All,250.32,1.42
2003,Virginia,Hispanic,All,265.56,3.19
2003,Virginia,Black,Eligible,244.38,2.22
2003,Virginia,Hispanic,Eligible,NA,NA
2003,Virginia,Black,Not Eligible,255.78,2.27
2003,Virginia,Hispanic,Not Eligible,NA,NA
2003,Washington,Black,All,250.56,3.3299999999999996
2003,Washington,Hispanic,All,246.09,2.59
2003,Washington,Black,Eligible,245.16,4.659999999999999
2003,Washington,Hispanic,Eligible,236.07,3.48
2003,Washington,Black,Not Eligible,NA,NA
2003,Washington,Hispanic,Not Eligible,261.27,3.8699999999999997
2003,West Virginia,Black,All,248.31,2.9099999999999997
2003,West Virginia,Hispanic,All,NA,NA
2003,West Virginia,Black,Eligible,244.19,3.14
2003,West Virginia,Hispanic,Eligible,NA,NA
2003,West Virginia,Black,Not Eligible,NA,NA
2003,West Virginia,Hispanic,Not Eligible,NA,NA
2003,Wisconsin,Black,All,233.84,4.38
2003,Wisconsin,Hispanic,All,243.94,5.04
2003,Wisconsin,Black,Eligible,228.98,4.41
2003,Wisconsin,Hispanic,Eligible,NA,NA
2003,Wisconsin,Black,Not Eligible,NA,NA
2003,Wisconsin,Hispanic,Not Eligible,NA,NA
2003,Wyoming,Black,All,NA,NA
2003,Wyoming,Hispanic,All,254.98,2.71
2003,Wyoming,Black,Eligible,NA,NA
2003,Wyoming,Hispanic,Eligible,250.19,4.17
2003,Wyoming,Black,Not Eligible,NA,NA
2003,Wyoming,Hispanic,Not Eligible,260.02,3.23
2005,Alabama,Black,All,234.7,1.91
2005,Alabama,Hispanic,All,NA,NA
2005,Alabama,Black,Eligible,231.4,2.06
2005,Alabama,Hispanic,Eligible,NA,NA
2005,Alabama,Black,Not Eligible,248.2,3.66
2005,Alabama,Hispanic,Not Eligible,NA,NA
2005,Alaska,Black,All,248.85,3.7600000000000002
2005,Alaska,Hispanic,All,253.82,4.13
2005,Alaska,Black,Eligible,NA,NA
2005,Alaska,Hispanic,Eligible,NA,NA
2005,Alaska,Black,Not Eligible,252.65,4.57
2005,Alaska,Hispanic,Not Eligible,NA,NA
2005,Arizona,Black,All,242.27,4.05
2005,Arizona,Hispanic,All,242.07,1.5
2005,Arizona,Black,Eligible,236.64,3.8699999999999997
2005,Arizona,Hispanic,Eligible,237.52,1.72
2005,Arizona,Black,Not Eligible,NA,NA
2005,Arizona,Hispanic,Not Eligible,253.52,4.05
2005,Arkansas,Black,All,236.24,1.95
2005,Arkansas,Hispanic,All,249.96,3.7
2005,Arkansas,Black,Eligible,232.89,2.01
2005,Arkansas,Hispanic,Eligible,249.13,3.56
2005,Arkansas,Black,Not Eligible,247.39,4.35
2005,Arkansas,Hispanic,Not Eligible,NA,NA
2005,California,Black,All,240.06,1.62
2005,California,Hispanic,All,238.57,0.77
2005,California,Black,Eligible,233.23,2
2005,California,Hispanic,Eligible,234.86,0.96
2005,California,Black,Not Eligible,249.44,2.7600000000000002
2005,California,Hispanic,Not Eligible,247.84,0.98
2005,Colorado,Black,All,254.16,3.8699999999999997
2005,Colorado,Hispanic,All,246.51,1.8800000000000001
2005,Colorado,Black,Eligible,248.15,4.119999999999999
2005,Colorado,Hispanic,Eligible,239.24,2.01
2005,Colorado,Black,Not Eligible,260.38,5.75
2005,Colorado,Hispanic,Not Eligible,257.57,2.62
2005,Connecticut,Black,All,240.15,3.3099999999999996
2005,Connecticut,Hispanic,All,244.6,3.86
2005,Connecticut,Black,Eligible,235.28,3.8899999999999997
2005,Connecticut,Hispanic,Eligible,238.37,4.619999999999999
2005,Connecticut,Black,Not Eligible,251,4.1899999999999995
2005,Connecticut,Hispanic,Not Eligible,257.93,3.4099999999999997
2005,Delaware,Black,All,252.39,1.1600000000000001
2005,Delaware,Hispanic,All,253.43,2.7
2005,Delaware,Black,Eligible,248.14,1.62
2005,Delaware,Hispanic,Eligible,252.14,3.29
2005,Delaware,Black,Not Eligible,256.93,1.45
2005,Delaware,Hispanic,Not Eligible,255.36,4.7
2005,District of Columbia,Black,All,234.94,0.9
2005,District of Columbia,Hispanic,All,247.47,3.21
2005,District of Columbia,Black,Eligible,232.13,1.05
2005,District of Columbia,Hispanic,Eligible,243.01,3.11
